Rock Type	Mineral	Z	Elem	Value	SD	Low	High	Kd Type	Reference	Definition	Notes	Inserted
Basanite	Amphibole	42	Mo			.0272	.06	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Amphibole	47	Ag			3.01	1.45	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Amphibole	48	Cd			.29	.09	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Amphibole	49	In			1.09	2.54	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Amphibole	50	Sn			.72	.11	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Amphibole	51	Sb			.016	.007	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Amphibole	55	Cs			.06	.003	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Amphibole	56	Ba			.19	.26	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Amphibole	57	La			.07	.17	Experimental	Adam & Green 1994	Solid-Melt		12-DEC-2000
Basanite	Amphibole	57	La			.05	.11	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Amphibole	58	Ce			.09	.19	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Amphibole	60	Nd			.2	.37	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Amphibole	62	Sm			.37	.7	Experimental	Adam & Green 1994	Solid-Melt		12-DEC-2000
Basanite	Amphibole	62	Sm			.3	.54	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Amphibole	65	Tb			.4	.64	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Amphibole	67	Ho			.44	.73	Experimental	Adam & Green 1994	Solid-Melt		12-DEC-2000
Basanite	Amphibole	67	Ho			.41	.61	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Amphibole	69	Tm			.36	.51	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Amphibole	70	Yb			.27	.44	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Amphibole	71	Lu			.3	.44	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Amphibole	71	Lu			.32	.48	Experimental	Adam & Green 1994	Solid-Melt		12-DEC-2000
Basanite	Amphibole	72	Hf			.27	.59	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Amphibole	73	Ta			.083	.24	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Amphibole	74	W			.0011	.0025	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Amphibole	81	Tl			.23	.11	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Amphibole	82	Pb			.07	.05	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Amphibole	83	Bi			.14	.49	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Amphibole	90	Th			.0035	.009	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite	Amphibole	92	U			.0039	.008	Experimental	Adam & Green 2006	Solid-Melt		08-DEC-2008
Basanite-Basalt	Amphibole	22	Ti	.95				Experimental	Adam et al. 1993	Solid-Melt		12-DEC-2000
Basanite-Basalt	Amphibole	37	Rb	.34				Experimental	Adam et al. 1993	Solid-Melt		12-DEC-2000
Basanite-Basalt	Amphibole	38	Sr	.33				Experimental	Adam et al. 1993	Solid-Melt		12-DEC-2000
Basanite-Basalt	Amphibole	39	Y	.6				Experimental	Adam et al. 1993	Solid-Melt		12-DEC-2000
Basanite-Basalt	Amphibole	40	Zr	.25				Experimental	Adam et al. 1993	Solid-Melt		12-DEC-2000
Basanite-Basalt	Amphibole	41	Nb	.08				Experimental	Adam et al. 1993	Solid-Melt		12-DEC-2000
Basanite-Basalt	Amphibole	56	Ba	.46				Experimental	Adam et al. 1993	Solid-Melt		12-DEC-2000
Basanite-Basalt	Amphibole	73	Ta	.09				Experimental	Adam et al. 1993	Solid-Melt		12-DEC-2000
Andesite	Amphibole	21	Sc	13				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000
Andesite	Amphibole	24	Cr	40				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000
Andesite	Amphibole	27	Co	6.1				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000
Andesite	Amphibole	30	Zn	1.6				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000
Andesite	Amphibole	37	Rb	.4				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000
Andesite	Amphibole	38	Sr	.01				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000
Andesite	Amphibole	40	Zr	.5				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000
Andesite	Amphibole	55	Cs	.01				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000
Andesite	Amphibole	56	Ba	.3				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000
Andesite	Amphibole	57	La	.31				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000
Andesite	Amphibole	58	Ce	.53				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000
Andesite	Amphibole	60	Nd	1.2				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000
Andesite	Amphibole	62	Sm	2				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000
Andesite	Amphibole	63	Eu	1.9				Phenocryst-Matrix	Bacon & Druitt 1988	Solid-Melt		12-DEC-2000
